Data Generated by    ,Optosky
Save time:,2022/4/4 17:08:51
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,2254.0000
207.113,2254.0000
207.498,2254.0000
207.884,2254.0000
208.269,2254.0000
208.655,2254.0000
209.040,2254.0000
209.426,2254.0000
209.812,2254.0000
210.197,2264.0000
210.583,2260.0000
210.969,2260.0000
211.355,2262.0000
211.741,2257.0000
212.127,2263.0000
212.513,2267.0000
212.899,2271.0000
213.285,2275.0000
213.671,2274.0000
214.057,2289.0000
214.443,2301.0000
214.829,2306.0000
215.215,2310.0000
215.602,2309.0000
215.988,2316.0000
216.374,2305.0000
216.761,2301.0000
217.147,2313.0000
217.534,2328.0000
217.920,2346.0000
218.307,2360.0000
218.694,2367.0000
219.080,2364.0000
219.467,2351.0000
219.854,2346.0000
220.240,2337.0000
220.627,2327.0000
221.014,2326.0000
221.401,2336.0000
221.788,2344.0000
222.175,2358.0000
222.562,2354.0000
222.949,2366.0000
223.336,2373.0000
223.723,2379.0000
224.110,2376.0000
224.497,2380.0000
224.885,2384.0000
225.272,2384.0000
225.659,2383.0000
226.047,2365.0000
226.434,2366.0000
226.822,2378.0000
227.209,2386.0000
227.597,2392.0000
227.984,2399.0000
228.372,2392.0000
228.759,2392.0000
229.147,2407.0000
229.535,2426.0000
229.923,2429.0000
230.310,2442.0000
230.698,2450.0000
231.086,2438.0000
231.474,2435.0000
231.862,2433.0000
232.250,2451.0000
232.638,2461.0000
233.026,2460.0000
233.414,2460.0000
233.802,2468.0000
234.191,2477.0000
234.579,2485.0000
234.967,2484.0000
235.355,2497.0000
235.744,2502.0000
236.132,2496.0000
236.521,2493.0000
236.909,2500.0000
237.298,2510.0000
237.686,2525.0000
238.075,2533.0000
238.463,2524.0000
238.852,2526.0000
239.241,2541.0000
239.629,2549.0000
240.018,2549.0000
240.407,2547.0000
240.796,2552.0000
241.185,2563.0000
241.574,2570.0000
241.963,2563.0000
242.352,2564.0000
242.741,2565.0000
243.130,2575.0000
243.519,2573.0000
243.908,2576.0000
244.297,2578.0000
244.687,2586.0000
245.076,2584.0000
245.465,2582.0000
245.855,2592.0000
246.244,2595.0000
246.634,2592.0000
247.023,2601.0000
247.413,2612.0000
247.802,2614.0000
248.192,2614.0000
248.581,2618.0000
248.971,2622.0000
249.361,2625.0000
249.751,2610.0000
250.140,2612.0000
250.530,2614.0000
250.920,2616.0000
251.310,2618.0000
251.700,2618.0000
252.090,2636.0000
252.480,2650.0000
252.870,2657.0000
253.260,2644.0000
253.650,2650.0000
254.040,2660.0000
254.431,2651.0000
254.821,2649.0000
255.211,2653.0000
255.601,2666.0000
255.992,2669.0000
256.382,2669.0000
256.773,2663.0000
257.163,2665.0000
257.554,2661.0000
257.944,2668.0000
258.335,2668.0000
258.725,2655.0000
259.116,2656.0000
259.507,2663.0000
259.898,2661.0000
260.288,2657.0000
260.679,2658.0000
261.070,2671.0000
261.461,2677.0000
261.852,2663.0000
262.243,2659.0000
262.634,2661.0000
263.025,2665.0000
263.416,2674.0000
263.807,2683.0000
264.198,2687.0000
264.589,2678.0000
264.981,2663.0000
265.372,2671.0000
265.763,2676.0000
266.155,2680.0000
266.546,2681.0000
266.937,2686.0000
267.329,2679.0000
267.720,2674.0000
268.112,2676.0000
268.504,2682.0000
268.895,2683.0000
269.287,2692.0000
269.678,2697.0000
270.070,2693.0000
270.462,2682.0000
270.854,2682.0000
271.246,2685.0000
271.637,2682.0000
272.029,2695.0000
272.421,2699.0000
272.813,2702.0000
273.205,2714.0000
273.597,2721.0000
273.989,2722.0000
274.382,2718.0000
274.774,2717.0000
275.166,2715.0000
275.558,2716.0000
275.950,2721.0000
276.343,2739.0000
276.735,2752.0000
277.127,2739.0000
277.520,2744.0000
277.912,2747.0000
278.305,2754.0000
278.697,2755.0000
279.090,2754.0000
279.483,2758.0000
279.875,2765.0000
280.268,2766.0000
280.661,2757.0000
281.053,2750.0000
281.446,2765.0000
281.839,2775.0000
282.232,2780.0000
282.625,2783.0000
283.018,2791.0000
283.411,2791.0000
283.804,2790.0000
284.197,2786.0000
284.590,2793.0000
284.983,2804.0000
285.376,2804.0000
285.769,2804.0000
286.163,2803.0000
286.556,2797.0000
286.949,2805.0000
287.342,2808.0000
287.736,2817.0000
288.129,2819.0000
288.523,2815.0000
288.916,2818.0000
289.310,2817.0000
289.703,2818.0000
290.097,2823.0000
290.490,2812.0000
290.884,2817.0000
291.278,2818.0000
291.672,2821.0000
292.065,2823.0000
292.459,2825.0000
292.853,2835.0000
293.247,2844.0000
293.641,2846.0000
294.035,2850.0000
294.429,2848.0000
294.823,2849.0000
295.217,2851.0000
295.611,2839.0000
296.005,2843.0000
296.399,2847.0000
296.793,2854.0000
297.188,2869.0000
297.582,2879.0000
297.976,2877.0000
298.371,2880.0000
298.765,2877.0000
299.159,2882.0000
299.554,2879.0000
299.948,2872.0000
300.343,2879.0000
300.737,2888.0000
301.132,2891.0000
301.527,2900.0000
301.921,2906.0000
302.316,2909.0000
302.711,2913.0000
303.105,2915.0000
303.500,2923.0000
303.895,2935.0000
304.290,2935.0000
304.685,2932.0000
305.080,2926.0000
305.475,2926.0000
305.870,2941.0000
306.265,2946.0000
306.660,2942.0000
307.055,2938.0000
307.450,2945.0000
307.845,2953.0000
308.241,2954.0000
308.636,2945.0000
309.031,2946.0000
309.427,2950.0000
309.822,2963.0000
310.217,2969.0000
310.613,2967.0000
311.008,2968.0000
311.404,2974.0000
311.799,2975.0000
312.195,2978.0000
312.591,2981.0000
312.986,2972.0000
313.382,2971.0000
313.778,2975.0000
314.173,2979.0000
314.569,2977.0000
314.965,2980.0000
315.361,2979.0000
315.757,2980.0000
316.153,2990.0000
316.549,2992.0000
316.945,2990.0000
317.341,2996.0000
317.737,2994.0000
318.133,2999.0000
318.529,3011.0000
318.925,3006.0000
319.321,3013.0000
319.718,3011.0000
320.114,3012.0000
320.510,3005.0000
320.906,2997.0000
321.303,3001.0000
321.699,3006.0000
322.096,3002.0000
322.492,3003.0000
322.889,3003.0000
323.285,3007.0000
323.682,2992.0000
324.078,2992.0000
324.475,2994.0000
324.872,2989.0000
325.268,2991.0000
325.665,2990.0000
326.062,2982.0000
326.459,2978.0000
326.856,2993.0000
327.253,3004.0000
327.649,3004.0000
328.046,3005.0000
328.443,3003.0000
328.840,3003.0000
329.237,3005.0000
329.635,3007.0000
330.032,3010.0000
330.429,2998.0000
330.826,3005.0000
331.223,3010.0000
331.621,3016.0000
332.018,3015.0000
332.415,3012.0000
332.812,3024.0000
333.210,3035.0000
333.607,3030.0000
334.005,3027.0000
334.402,3027.0000
334.800,3030.0000
335.197,3031.0000
335.595,3027.0000
335.993,3030.0000
336.390,3028.0000
336.788,3033.0000
337.186,3044.0000
337.583,3055.0000
337.981,3052.0000
338.379,3055.0000
338.777,3056.0000
339.175,3053.0000
339.573,3067.0000
339.971,3082.0000
340.369,3084.0000
340.767,3082.0000
341.165,3088.0000
341.563,3091.0000
341.961,3095.0000
342.359,3089.0000
342.757,3092.0000
343.156,3093.0000
343.554,3099.0000
343.952,3097.0000
344.350,3102.0000
344.749,3109.0000
345.147,3108.0000
345.546,3108.0000
345.944,3099.0000
346.343,3095.0000
346.741,3099.0000
347.140,3107.0000
347.538,3112.0000
347.937,3115.0000
348.336,3120.0000
348.734,3128.0000
349.133,3132.0000
349.532,3128.0000
349.931,3136.0000
350.329,3132.0000
350.728,3133.0000
351.127,3125.0000
351.526,3121.0000
351.925,3118.0000
352.324,3126.0000
352.723,3134.0000
353.122,3132.0000
353.521,3134.0000
353.920,3118.0000
354.319,3119.0000
354.719,3125.0000
355.118,3125.0000
355.517,3126.0000
355.916,3126.0000
356.316,3118.0000
356.715,3122.0000
357.114,3125.0000
357.514,3126.0000
357.913,3129.0000
358.313,3125.0000
358.712,3125.0000
359.112,3123.0000
359.511,3125.0000
359.911,3120.0000
360.310,3111.0000
360.710,3113.0000
361.110,3116.0000
361.510,3108.0000
361.909,3113.0000
362.309,3121.0000
362.709,3113.0000
363.109,3105.0000
363.509,3107.0000
363.909,3115.0000
364.309,3115.0000
364.708,3110.0000
365.108,3106.0000
365.509,3111.0000
365.909,3113.0000
366.309,3114.0000
366.709,3104.0000
367.109,3102.0000
367.509,3099.0000
367.909,3107.0000
368.310,3108.0000
368.710,3104.0000
369.110,3106.0000
369.511,3100.0000
369.911,3095.0000
370.312,3095.0000
370.712,3091.0000
371.113,3106.0000
371.513,3100.0000
371.914,3090.0000
