Data Generated by    ,Optosky
Save time:,2022/4/5 11:31:40
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0076
207.113,0.0076
207.498,0.0076
207.884,0.0076
208.269,0.0076
208.655,0.0076
209.040,0.0076
209.426,0.0076
209.812,0.0076
210.197,0.0080
210.583,0.0075
210.969,0.0076
211.355,0.0079
211.741,0.0080
212.127,0.0087
212.513,0.0089
212.899,0.0093
213.285,0.0086
213.671,0.0086
214.057,0.0089
214.443,0.0087
214.829,0.0087
215.215,0.0090
215.602,0.0087
215.988,0.0085
216.374,0.0084
216.761,0.0088
217.147,0.0089
217.534,0.0084
217.920,0.0082
218.307,0.0077
218.694,0.0081
219.080,0.0092
219.467,0.0094
219.854,0.0099
220.240,0.0097
220.627,0.0098
221.014,0.0100
221.401,0.0104
221.788,0.0103
222.175,0.0099
222.562,0.0105
222.949,0.0113
223.336,0.0112
223.723,0.0114
224.110,0.0119
224.497,0.0117
224.885,0.0124
225.272,0.0124
225.659,0.0126
226.047,0.0128
226.434,0.0130
226.822,0.0135
227.209,0.0139
227.597,0.0142
227.984,0.0156
228.372,0.0159
228.759,0.0162
229.147,0.0167
229.535,0.0172
229.923,0.0175
230.310,0.0178
230.698,0.0181
231.086,0.0196
231.474,0.0199
231.862,0.0207
232.250,0.0206
232.638,0.0209
233.026,0.0222
233.414,0.0227
233.802,0.0230
234.191,0.0240
234.579,0.0249
234.967,0.0255
235.355,0.0254
235.744,0.0259
236.132,0.0266
236.521,0.0265
236.909,0.0267
237.298,0.0269
237.686,0.0283
238.075,0.0288
238.463,0.0295
238.852,0.0293
239.241,0.0297
239.629,0.0293
240.018,0.0303
240.407,0.0310
240.796,0.0313
241.185,0.0319
241.574,0.0325
241.963,0.0326
242.352,0.0325
242.741,0.0319
243.130,0.0315
243.519,0.0319
243.908,0.0325
244.297,0.0319
244.687,0.0322
245.076,0.0321
245.465,0.0324
245.855,0.0324
246.244,0.0323
246.634,0.0332
247.023,0.0340
247.413,0.0330
247.802,0.0328
248.192,0.0329
248.581,0.0332
248.971,0.0335
249.361,0.0341
249.751,0.0350
250.140,0.0349
250.530,0.0349
250.920,0.0353
251.310,0.0351
251.700,0.0353
252.090,0.0344
252.480,0.0350
252.870,0.0354
253.260,0.0352
253.650,0.0341
254.040,0.0342
254.431,0.0351
254.821,0.0353
255.211,0.0353
255.601,0.0350
255.992,0.0344
256.382,0.0344
256.773,0.0354
257.163,0.0352
257.554,0.0346
257.944,0.0352
258.335,0.0338
258.725,0.0342
259.116,0.0330
259.507,0.0333
259.898,0.0337
260.288,0.0341
260.679,0.0335
261.070,0.0331
261.461,0.0329
261.852,0.0332
262.243,0.0331
262.634,0.0321
263.025,0.0318
263.416,0.0324
263.807,0.0314
264.198,0.0309
264.589,0.0308
264.981,0.0304
265.372,0.0305
265.763,0.0301
266.155,0.0294
266.546,0.0295
266.937,0.0297
267.329,0.0290
267.720,0.0293
268.112,0.0305
268.504,0.0294
268.895,0.0290
269.287,0.0287
269.678,0.0286
270.070,0.0283
270.462,0.0292
270.854,0.0300
271.246,0.0304
271.637,0.0302
272.029,0.0303
272.421,0.0309
272.813,0.0301
273.205,0.0304
273.597,0.0304
273.989,0.0319
274.382,0.0317
274.774,0.0317
275.166,0.0318
275.558,0.0311
275.950,0.0309
276.343,0.0317
276.735,0.0315
277.127,0.0307
277.520,0.0312
277.912,0.0310
278.305,0.0319
278.697,0.0326
279.090,0.0327
279.483,0.0320
279.875,0.0326
280.268,0.0321
280.661,0.0324
281.053,0.0325
281.446,0.0321
281.839,0.0321
282.232,0.0314
282.625,0.0320
283.018,0.0324
283.411,0.0323
283.804,0.0321
284.197,0.0323
284.590,0.0328
284.983,0.0330
285.376,0.0343
285.769,0.0335
286.163,0.0330
286.556,0.0330
286.949,0.0332
287.342,0.0330
287.736,0.0333
288.129,0.0330
288.523,0.0325
288.916,0.0318
289.310,0.0325
289.703,0.0330
290.097,0.0327
290.490,0.0334
290.884,0.0329
291.278,0.0328
291.672,0.0325
292.065,0.0331
292.459,0.0332
292.853,0.0327
293.247,0.0327
293.641,0.0331
294.035,0.0324
294.429,0.0321
294.823,0.0325
295.217,0.0325
295.611,0.0329
296.005,0.0327
296.399,0.0329
296.793,0.0331
297.188,0.0329
