Data Generated by    ,Optosky
Save time:,2022/4/4 17:30:07
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0062
207.113,0.0062
207.498,0.0062
207.884,0.0062
208.269,0.0062
208.655,0.0062
209.040,0.0062
209.426,0.0062
209.812,0.0062
210.197,0.0066
210.583,0.0066
210.969,0.0066
211.355,0.0067
211.741,0.0066
212.127,0.0059
212.513,0.0064
212.899,0.0073
213.285,0.0064
213.671,0.0071
214.057,0.0078
214.443,0.0078
214.829,0.0076
215.215,0.0081
215.602,0.0078
215.988,0.0079
216.374,0.0079
216.761,0.0082
217.147,0.0083
217.534,0.0077
217.920,0.0075
218.307,0.0075
218.694,0.0075
219.080,0.0079
219.467,0.0070
219.854,0.0074
220.240,0.0081
220.627,0.0088
221.014,0.0093
221.401,0.0098
221.788,0.0101
222.175,0.0110
222.562,0.0115
222.949,0.0112
223.336,0.0113
223.723,0.0113
224.110,0.0111
224.497,0.0110
224.885,0.0112
225.272,0.0121
225.659,0.0126
226.047,0.0116
226.434,0.0124
226.822,0.0135
227.209,0.0145
227.597,0.0149
227.984,0.0159
228.372,0.0160
228.759,0.0165
229.147,0.0177
229.535,0.0182
229.923,0.0196
230.310,0.0195
230.698,0.0202
231.086,0.0195
231.474,0.0204
231.862,0.0215
232.250,0.0220
232.638,0.0221
233.026,0.0230
233.414,0.0240
233.802,0.0253
234.191,0.0255
234.579,0.0271
234.967,0.0275
235.355,0.0273
235.744,0.0274
236.132,0.0275
236.521,0.0266
236.909,0.0274
237.298,0.0276
237.686,0.0286
238.075,0.0279
238.463,0.0290
238.852,0.0284
239.241,0.0299
239.629,0.0309
240.018,0.0312
240.407,0.0310
240.796,0.0321
241.185,0.0327
241.574,0.0332
241.963,0.0326
242.352,0.0327
242.741,0.0320
243.130,0.0323
243.519,0.0320
243.908,0.0319
244.297,0.0324
244.687,0.0325
245.076,0.0319
245.465,0.0317
245.855,0.0312
246.244,0.0323
246.634,0.0328
247.023,0.0325
247.413,0.0337
247.802,0.0339
248.192,0.0342
248.581,0.0346
248.971,0.0336
249.361,0.0329
249.751,0.0338
250.140,0.0343
250.530,0.0339
250.920,0.0335
251.310,0.0338
251.700,0.0341
252.090,0.0346
252.480,0.0344
252.870,0.0347
253.260,0.0348
253.650,0.0349
254.040,0.0361
254.431,0.0358
254.821,0.0358
255.211,0.0347
255.601,0.0351
255.992,0.0344
256.382,0.0340
256.773,0.0338
257.163,0.0344
257.554,0.0343
257.944,0.0328
258.335,0.0323
258.725,0.0316
259.116,0.0319
259.507,0.0318
259.898,0.0321
260.288,0.0327
260.679,0.0325
261.070,0.0322
261.461,0.0324
261.852,0.0323
262.243,0.0326
262.634,0.0321
263.025,0.0302
263.416,0.0304
263.807,0.0301
264.198,0.0305
264.589,0.0303
264.981,0.0295
265.372,0.0301
265.763,0.0295
266.155,0.0294
266.546,0.0285
266.937,0.0294
267.329,0.0294
267.720,0.0287
268.112,0.0285
268.504,0.0285
268.895,0.0283
269.287,0.0283
269.678,0.0282
270.070,0.0275
270.462,0.0281
270.854,0.0285
271.246,0.0277
271.637,0.0281
272.029,0.0294
272.421,0.0299
272.813,0.0305
273.205,0.0300
273.597,0.0303
273.989,0.0307
274.382,0.0307
274.774,0.0301
275.166,0.0308
275.558,0.0311
275.950,0.0316
276.343,0.0315
276.735,0.0320
