Data Generated by    ,Optosky
Save time:,2022/4/4 17:18:00
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0060
207.113,0.0060
207.498,0.0060
207.884,0.0060
208.269,0.0060
208.655,0.0060
209.040,0.0060
209.426,0.0060
209.812,0.0060
210.197,0.0065
210.583,0.0081
210.969,0.0078
211.355,0.0076
211.741,0.0074
212.127,0.0070
212.513,0.0063
212.899,0.0066
213.285,0.0067
213.671,0.0068
214.057,0.0071
214.443,0.0071
214.829,0.0077
215.215,0.0072
215.602,0.0078
215.988,0.0082
216.374,0.0080
216.761,0.0087
217.147,0.0095
217.534,0.0091
217.920,0.0081
218.307,0.0082
218.694,0.0083
219.080,0.0087
219.467,0.0077
219.854,0.0077
220.240,0.0080
220.627,0.0095
221.014,0.0093
221.401,0.0090
221.788,0.0098
222.175,0.0104
222.562,0.0108
222.949,0.0113
223.336,0.0117
223.723,0.0120
224.110,0.0120
224.497,0.0123
224.885,0.0119
225.272,0.0127
225.659,0.0130
226.047,0.0123
226.434,0.0129
226.822,0.0140
227.209,0.0148
227.597,0.0146
227.984,0.0167
228.372,0.0167
228.759,0.0168
229.147,0.0176
229.535,0.0187
229.923,0.0197
230.310,0.0195
230.698,0.0203
231.086,0.0201
231.474,0.0202
231.862,0.0213
232.250,0.0213
232.638,0.0221
233.026,0.0232
233.414,0.0240
233.802,0.0253
234.191,0.0255
234.579,0.0265
234.967,0.0276
235.355,0.0274
235.744,0.0279
236.132,0.0282
236.521,0.0280
236.909,0.0291
237.298,0.0293
237.686,0.0292
238.075,0.0288
238.463,0.0292
238.852,0.0284
239.241,0.0294
239.629,0.0306
240.018,0.0305
240.407,0.0301
240.796,0.0310
241.185,0.0313
241.574,0.0324
241.963,0.0324
242.352,0.0326
242.741,0.0326
243.130,0.0328
243.519,0.0327
243.908,0.0325
244.297,0.0323
244.687,0.0330
245.076,0.0323
245.465,0.0320
245.855,0.0322
246.244,0.0323
246.634,0.0329
247.023,0.0329
247.413,0.0334
247.802,0.0341
248.192,0.0344
248.581,0.0344
248.971,0.0335
249.361,0.0327
249.751,0.0340
250.140,0.0347
250.530,0.0345
250.920,0.0339
251.310,0.0350
251.700,0.0344
252.090,0.0345
252.480,0.0344
252.870,0.0349
253.260,0.0350
253.650,0.0355
254.040,0.0358
254.431,0.0353
254.821,0.0354
255.211,0.0348
255.601,0.0353
255.992,0.0350
256.382,0.0348
256.773,0.0351
257.163,0.0352
257.554,0.0350
257.944,0.0338
258.335,0.0327
258.725,0.0318
259.116,0.0316
259.507,0.0316
259.898,0.0323
260.288,0.0329
260.679,0.0326
261.070,0.0324
261.461,0.0328
261.852,0.0327
262.243,0.0324
262.634,0.0319
263.025,0.0306
263.416,0.0312
263.807,0.0308
264.198,0.0304
264.589,0.0300
264.981,0.0297
265.372,0.0303
265.763,0.0291
266.155,0.0287
266.546,0.0279
266.937,0.0290
267.329,0.0294
267.720,0.0290
268.112,0.0289
268.504,0.0288
268.895,0.0285
269.287,0.0289
269.678,0.0290
270.070,0.0282
270.462,0.0283
270.854,0.0282
271.246,0.0275
271.637,0.0273
272.029,0.0285
272.421,0.0290
272.813,0.0299
273.205,0.0294
273.597,0.0298
273.989,0.0305
274.382,0.0305
274.774,0.0304
275.166,0.0307
275.558,0.0310
275.950,0.0318
276.343,0.0316
276.735,0.0322
277.127,0.0312
277.520,0.0310
277.912,0.0306
278.305,0.0312
278.697,0.0310
279.090,0.0313
279.483,0.0321
279.875,0.0317
280.268,0.0322
280.661,0.0322
281.053,0.0317
281.446,0.0319
281.839,0.0320
282.232,0.0321
282.625,0.0328
283.018,0.0335
283.411,0.0334
283.804,0.0337
284.197,0.0327
284.590,0.0327
284.983,0.0320
285.376,0.0332
285.769,0.0337
286.163,0.0334
286.556,0.0327
286.949,0.0332
287.342,0.0334
287.736,0.0330
288.129,0.0332
288.523,0.0331
288.916,0.0324
289.310,0.0322
289.703,0.0326
290.097,0.0324
290.490,0.0319
290.884,0.0323
291.278,0.0315
291.672,0.0322
292.065,0.0326
292.459,0.0324
292.853,0.0320
293.247,0.0320
293.641,0.0325
294.035,0.0331
294.429,0.0324
294.823,0.0335
295.217,0.0333
295.611,0.0329
296.005,0.0324
296.399,0.0333
296.793,0.0326
297.188,0.0327
297.582,0.0326
297.976,0.0330
298.371,0.0333
298.765,0.0341
299.159,0.0344
299.554,0.0350
299.948,0.0353
300.343,0.0351
300.737,0.0353
301.132,0.0358
301.527,0.0361
301.921,0.0362
302.316,0.0372
302.711,0.0381
303.105,0.0377
303.500,0.0384
303.895,0.0381
304.290,0.0388
304.685,0.0397
305.080,0.0394
305.475,0.0398
305.870,0.0404
306.265,0.0399
306.660,0.0401
307.055,0.0400
307.450,0.0407
307.845,0.0416
308.241,0.0419
308.636,0.0408
309.031,0.0404
309.427,0.0403
309.822,0.0411
310.217,0.0403
310.613,0.0410
311.008,0.0406
311.404,0.0410
311.799,0.0409
312.195,0.0415
312.591,0.0415
312.986,0.0411
313.382,0.0408
313.778,0.0407
314.173,0.0400
314.569,0.0407
314.965,0.0411
315.361,0.0412
315.757,0.0414
316.153,0.0406
316.549,0.0401
316.945,0.0409
317.341,0.0405
317.737,0.0400
318.133,0.0395
318.529,0.0391
318.925,0.0389
319.321,0.0399
319.718,0.0397
320.114,0.0392
320.510,0.0386
320.906,0.0382
321.303,0.0382
321.699,0.0389
322.096,0.0386
322.492,0.0374
322.889,0.0375
323.285,0.0372
323.682,0.0368
324.078,0.0366
324.475,0.0364
324.872,0.0354
325.268,0.0358
325.665,0.0355
326.062,0.0355
326.459,0.0353
326.856,0.0347
327.253,0.0343
327.649,0.0347
328.046,0.0345
328.443,0.0334
328.840,0.0333
329.237,0.0335
329.635,0.0330
330.032,0.0329
330.429,0.0328
330.826,0.0326
331.223,0.0330
331.621,0.0330
332.018,0.0337
332.415,0.0341
332.812,0.0342
333.210,0.0341
333.607,0.0344
334.005,0.0337
334.402,0.0342
334.800,0.0338
335.197,0.0339
335.595,0.0342
335.993,0.0342
336.390,0.0343
336.788,0.0353
337.186,0.0357
337.583,0.0360
337.981,0.0363
338.379,0.0362
338.777,0.0366
339.175,0.0369
339.573,0.0370
339.971,0.0375
340.369,0.0379
340.767,0.0375
341.165,0.0384
341.563,0.0387
341.961,0.0385
342.359,0.0387
342.757,0.0390
343.156,0.0392
343.554,0.0396
343.952,0.0393
344.350,0.0394
344.749,0.0399
345.147,0.0398
345.546,0.0403
345.944,0.0392
346.343,0.0395
346.741,0.0401
347.140,0.0407
347.538,0.0408
347.937,0.0405
348.336,0.0404
348.734,0.0404
349.133,0.0411
349.532,0.0410
349.931,0.0413
350.329,0.0419
350.728,0.0414
351.127,0.0406
351.526,0.0398
351.925,0.0401
352.324,0.0396
352.723,0.0402
353.122,0.0398
353.521,0.0402
353.920,0.0395
354.319,0.0391
354.719,0.0395
355.118,0.0397
355.517,0.0398
355.916,0.0396
356.316,0.0386
356.715,0.0384
357.114,0.0387
357.514,0.0389
357.913,0.0386
358.313,0.0380
358.712,0.0379
359.112,0.0376
359.511,0.0375
359.911,0.0372
360.310,0.0365
360.710,0.0360
361.110,0.0356
361.510,0.0355
361.909,0.0360
362.309,0.0353
362.709,0.0346
363.109,0.0346
363.509,0.0340
363.909,0.0342
364.309,0.0343
364.708,0.0343
365.108,0.0337
365.509,0.0334
365.909,0.0338
366.309,0.0331
366.709,0.0326
367.109,0.0332
367.509,0.0327
367.909,0.0329
368.310,0.0325
368.710,0.0322
369.110,0.0320
369.511,0.0320
369.911,0.0316
370.312,0.0313
370.712,0.0312
371.113,0.0313
371.513,0.0312
371.914,0.0314
372.314,0.0307
372.715,0.0306
373.115,0.0308
373.516,0.0308
373.917,0.0311
374.318,0.0318
374.718,0.0317
375.119,0.0320
375.520,0.0327
375.921,0.0325
376.322,0.0331
376.723,0.0327
377.124,0.0331
377.525,0.0337
377.926,0.0341
